,Nama,Waktu,Ulasan,Label,Cleaning,CaseFolding,slangword,Tokenizing,Stopword_Removal,Stemming,Full_Text_Stemmed
87,lily luaily,4 tahun lalu,"Saya rekomendasi tempat ini sngat cocok untuk yg ingin singgah, tempatnya sejuk dipinggiran sawah. Ada musholla juga, makanannya mantul enakk bgt puas dan mengenyangkan",positif,Saya rekomendasi tempat ini sngat cocok untuk yg ingin singgah tempatnya sejuk dipinggiran sawah Ada musholla juga makanannya mantul enakk bgt puas dan mengenyangkan,saya rekomendasi tempat ini sngat cocok untuk yg ingin singgah tempatnya sejuk dipinggiran sawah ada musholla juga makanannya mantul enakk bgt puas dan mengenyangkan,saya rekomendasi tempat ini sngat cocok untuk yg ingin singgah tempatnya sejuk dipinggiran sawah ada musholla juga makanannya mantul enakk bgt puas dan mengenyangkan,"['saya', 'rekomendasi', 'tempat', 'ini', 'sngat', 'cocok', 'untuk', 'yg', 'ingin', 'singgah', 'tempatnya', 'sejuk', 'dipinggiran', 'sawah', 'ada', 'musholla', 'juga', 'makanannya', 'mantul', 'enakk', 'bgt', 'puas', 'dan', 'mengenyangkan']","['rekomendasi', 'sngat', 'cocok', 'singgah', 'tempatnya', 'sejuk', 'dipinggiran', 'sawah', 'musholla', 'makanannya', 'mantul', 'enakk', 'bgt', 'puas', 'mengenyangkan']","['rekomendasi', 'sngat', 'cocok', 'singgah', 'tempatnya', 'sejuk', 'dipinggiran', 'sawah', 'musholla', 'makanannya', 'mantul', 'enakk', 'bgt', 'pua', 'mengenyangkan']",rekomendasi sngat cocok singgah tempatnya sejuk dipinggiran sawah musholla makanannya mantul enakk bgt pua mengenyangkan
88,Nur Shofiah,9 bulan lalu,Karena sambel bebek yang khas... Sambel mangga campur terasi,positif,Karena sambel bebek yang khas Sambel mangga campur terasi,karena sambel bebek yang khas sambel mangga campur terasi,karena sambel bebek yang khas sambel mangga campur terasi,"['karena', 'sambel', 'bebek', 'yang', 'khas', 'sambel', 'mangga', 'campur', 'terasi']","['sambel', 'bebek', 'khas', 'sambel', 'mangga', 'campur', 'terasi']","['sambel', 'bebek', 'kha', 'sambel', 'mangga', 'campur', 'terasi']",sambel bebek kha sambel mangga campur terasi
89,saus kacang,2 tahun lalu,"murah + enak, terutama bebek kremesnya. sambal mangga",positif,murah enak terutama bebek kremesnya sambal mangga,murah enak terutama bebek kremesnya sambal mangga,murah enak terutama bebek kremesnya sambal mangga,"['murah', 'enak', 'terutama', 'bebek', 'kremesnya', 'sambal', 'mangga']","['murah', 'enak', 'bebek', 'kremesnya', 'sambal', 'mangga']","['murah', 'enak', 'bebek', 'kremesnya', 'sambal', 'mangga']",murah enak bebek kremesnya sambal mangga
90,Sugeng Widodo,2 tahun lalu,"Sambalnya Mantap, Harga Makanan Cukuplahh",positif,Sambalnya Mantap Harga Makanan Cukuplahh,sambalnya mantap harga makanan cukuplahh,sambalnya mantap harga makanan cukuplahh,"['sambalnya', 'mantap', 'harga', 'makanan', 'cukuplahh']","['sambalnya', 'mantap', 'harga', 'makanan', 'cukuplahh']","['sambalnya', 'mantap', 'harga', 'makanan', 'cukuplahh']",sambalnya mantap harga makanan cukuplahh
91,Fathu rozi,4 tahun lalu,"Bebeknya mantap tenan plus jeruk hangat, harga terjangkau",positif,Bebeknya mantap tenan plus jeruk hangat harga terjangkau,bebeknya mantap tenan plus jeruk hangat harga terjangkau,bebeknya mantap tenan plus jeruk hangat harga terjangkau,"['bebeknya', 'mantap', 'tenan', 'plus', 'jeruk', 'hangat', 'harga', 'terjangkau']","['bebeknya', 'mantap', 'tenan', 'plus', 'jeruk', 'hangat', 'harga', 'terjangkau']","['bebeknya', 'mantap', 'tenan', 'plu', 'jeruk', 'hangat', 'harga', 'terjangkau']",bebeknya mantap tenan plu jeruk hangat harga terjangkau
92,Yuli Astuti,10 bulan lalu,"Mau meninggalkan pulau Madura singgah dulu makan di restoran ini, masakan tidak terlalu istimewa. Kebersihan kurang, banyak tissu berserakan.",netral,Mau meninggalkan pulau Madura singgah dulu makan di restoran ini masakan tidak terlalu istimewa Kebersihan kurang banyak tissu berserakan ,mau meninggalkan pulau madura singgah dulu makan di restoran ini masakan tidak terlalu istimewa kebersihan kurang banyak tissu berserakan ,mau meninggalkan pulau madura singgah dulu makan di restoran ini masakan tidak terlalu istimewa kebersihan kurang banyak tissu berserakan,"['mau', 'meninggalkan', 'pulau', 'madura', 'singgah', 'dulu', 'makan', 'di', 'restoran', 'ini', 'masakan', 'tidak', 'terlalu', 'istimewa', 'kebersihan', 'kurang', 'banyak', 'tissu', 'berserakan']","['meninggalkan', 'pulau', 'madura', 'singgah', 'makan', 'restoran', 'masakan', 'istimewa', 'kebersihan', 'tissu', 'berserakan']","['meninggalkan', 'pulau', 'madura', 'singgah', 'makan', 'restoran', 'masakan', 'istimewa', 'kebersihan', 'tissu', 'berserakan']",meninggalkan pulau madura singgah makan restoran masakan istimewa kebersihan tissu berserakan
93,nayyira putri,setahun lalu,"parkiran luas
tempatnya pas dipinggir jalan jadi mudah dijangkau
lengkap dengan musholla
banyak pilihan menu,suka sama sambelnya",positif,parkiran luas tempatnya pas dipinggir jalan jadi mudah dijangkau lengkap dengan musholla banyak pilihan menu suka sama sambelnya,parkiran luas tempatnya pas dipinggir jalan jadi mudah dijangkau lengkap dengan musholla banyak pilihan menu suka sama sambelnya,parkiran luas tempatnya pas dipinggir jalan jadi mudah dijangkau lengkap dengan musholla banyak pilihan menu suka sama sambelnya,"['parkiran', 'luas', 'tempatnya', 'pas', 'dipinggir', 'jalan', 'jadi', 'mudah', 'dijangkau', 'lengkap', 'dengan', 'musholla', 'banyak', 'pilihan', 'menu', 'suka', 'sama', 'sambelnya']","['parkiran', 'luas', 'tempatnya', 'pas', 'dipinggir', 'jalan', 'mudah', 'dijangkau', 'lengkap', 'musholla', 'pilihan', 'menu', 'suka', 'sambelnya']","['parkiran', 'lua', 'tempatnya', 'pa', 'dipinggir', 'jalan', 'mudah', 'dijangkau', 'lengkap', 'musholla', 'pilihan', 'menu', 'suka', 'sambelnya']",parkiran lua tempatnya pa dipinggir jalan mudah dijangkau lengkap musholla pilihan menu suka sambelnya
94,Gustav Subagio,3 bulan lalu,"Makanan enak, layanan cepat.",netral,Makanan enak layanan cepat ,makanan enak layanan cepat ,makanan enak layanan cepat,"['makanan', 'enak', 'layanan', 'cepat']","['makanan', 'enak', 'layanan', 'cepat']","['makanan', 'enak', 'layanan', 'cepat']",makanan enak layanan cepat
95,Ilvi 92,4 bulan lalu,Saya sangat kecewa dengan tempatnya kurang bersih,negatif,Saya sangat kecewa dengan tempatnya kurang bersih,saya sangat kecewa dengan tempatnya kurang bersih,saya sangat kecewa dengan tempatnya kurang bersih,"['saya', 'sangat', 'kecewa', 'dengan', 'tempatnya', 'kurang', 'bersih']","['kecewa', 'tempatnya', 'bersih']","['kecewa', 'tempatnya', 'bersih']",kecewa tempatnya bersih
96,INDRA,setahun lalu,"Kurang direkomendasi..org selesai makan meja tdk segera dibersihkan.terkesan jorok,kotor,kumuh,ditegur baru dibersihkan,
Baik daging ayam maupun bebek sepertinya digoreng berulang2..keras jika dimakan..",negatif,Kurang direkomendasi org selesai makan meja tdk segera dibersihkan terkesan jorok kotor kumuh ditegur baru dibersihkan Baik daging ayam maupun bebek sepertinya digoreng berulang keras jika dimakan ,kurang direkomendasi org selesai makan meja tdk segera dibersihkan terkesan jorok kotor kumuh ditegur baru dibersihkan baik daging ayam maupun bebek sepertinya digoreng berulang keras jika dimakan ,kurang direkomendasi org selesai makan meja tdk segera dibersihkan terkesan jorok kotor kumuh ditegur baru dibersihkan baik daging ayam maupun bebek sepertinya digoreng berulang keras jika dimakan,"['kurang', 'direkomendasi', 'org', 'selesai', 'makan', 'meja', 'tdk', 'segera', 'dibersihkan', 'terkesan', 'jorok', 'kotor', 'kumuh', 'ditegur', 'baru', 'dibersihkan', 'baik', 'daging', 'ayam', 'maupun', 'bebek', 'sepertinya', 'digoreng', 'berulang', 'keras', 'jika', 'dimakan']","['direkomendasi', 'org', 'selesai', 'makan', 'meja', 'tdk', 'dibersihkan', 'terkesan', 'jorok', 'kotor', 'kumuh', 'ditegur', 'dibersihkan', 'daging', 'ayam', 'bebek', 'digoreng', 'berulang', 'keras', 'dimakan']","['direkomendasi', 'org', 'selesai', 'makan', 'meja', 'tdk', 'dibersihkan', 'terkesan', 'jorok', 'kotor', 'kumuh', 'ditegur', 'dibersihkan', 'dage', 'ayam', 'bebek', 'digoreng', 'berulang', 'kera', 'dimakan']",direkomendasi org selesai makan meja tdk dibersihkan terkesan jorok kotor kumuh ditegur dibersihkan dage ayam bebek digoreng berulang kera dimakan
97,Afin Fifit,3 tahun lalu,Tempat yang sangat nyaman untuk istirahat sejenak sambil makan sajian makanan mantap ketika bepergian.,positif,Tempat yang sangat nyaman untuk istirahat sejenak sambil makan sajian makanan mantap ketika bepergian ,tempat yang sangat nyaman untuk istirahat sejenak sambil makan sajian makanan mantap ketika bepergian ,tempat yang sangat nyaman untuk istirahat sejenak sambil makan sajian makanan mantap ketika bepergian,"['tempat', 'yang', 'sangat', 'nyaman', 'untuk', 'istirahat', 'sejenak', 'sambil', 'makan', 'sajian', 'makanan', 'mantap', 'ketika', 'bepergian']","['nyaman', 'istirahat', 'makan', 'sajian', 'makanan', 'mantap', 'bepergian']","['nyaman', 'istirahat', 'makan', 'sajian', 'makanan', 'mantap', 'bepergian']",nyaman istirahat makan sajian makanan mantap bepergian
98,Achmad zainul Arifin,3 tahun lalu,"Tempatnya nyaman...makanannya enak,harga sesuai",positif,Tempatnya nyaman makanannya enak harga sesuai,tempatnya nyaman makanannya enak harga sesuai,tempatnya nyaman makanannya enak harga sesuai,"['tempatnya', 'nyaman', 'makanannya', 'enak', 'harga', 'sesuai']","['tempatnya', 'nyaman', 'makanannya', 'enak', 'harga']","['tempatnya', 'nyaman', 'makanannya', 'enak', 'harga']",tempatnya nyaman makanannya enak harga
99,FENUZA Family,10 bulan lalu,"Tempatnya besar, dulu suka banget, cuma tambah lama bebeknya tambah kecil, jadi kayak makan kulit bebek aja",netral,Tempatnya besar dulu suka banget cuma tambah lama bebeknya tambah kecil jadi kayak makan kulit bebek aja,tempatnya besar dulu suka banget cuma tambah lama bebeknya tambah kecil jadi kayak makan kulit bebek aja,tempatnya besar dulu suka banget cuma tambah lama bebeknya tambah kecil jadi kayak makan kulit bebek aja,"['tempatnya', 'besar', 'dulu', 'suka', 'banget', 'cuma', 'tambah', 'lama', 'bebeknya', 'tambah', 'kecil', 'jadi', 'kayak', 'makan', 'kulit', 'bebek', 'aja']","['tempatnya', 'suka', 'banget', 'bebeknya', 'kayak', 'makan', 'kulit', 'bebek', 'aja']","['tempatnya', 'suka', 'banget', 'bebeknya', 'kayak', 'makan', 'kulit', 'bebek', 'aja']",tempatnya suka banget bebeknya kayak makan kulit bebek aja
100,Affa Yogiswara,4 tahun lalu,"Cukup enak, tapi daging bebek nya kurang besar dan sambal kurang banyak",netral,Cukup enak tapi daging bebek nya kurang besar dan sambal kurang banyak,cukup enak tapi daging bebek nya kurang besar dan sambal kurang banyak,cukup enak tapi daging bebek nya kurang besar dan sambal kurang banyak,"['cukup', 'enak', 'tapi', 'daging', 'bebek', 'nya', 'kurang', 'besar', 'dan', 'sambal', 'kurang', 'banyak']","['enak', 'daging', 'bebek', 'nya', 'sambal']","['enak', 'dage', 'bebek', 'nya', 'sambal']",enak dage bebek nya sambal
101,Anindita Sastaviana,setahun lalu,"Pelayan kurang ramah (tidak senyum) kurang profesional.

Untuk kemasan yang dibawa pulang, tidak bisa bertahan lama untuk pelengkap …",negatif,Pelayan kurang ramah tidak senyum kurang profesional Untuk kemasan yang dibawa pulang tidak bisa bertahan lama untuk pelengkap ,pelayan kurang ramah tidak senyum kurang profesional untuk kemasan yang dibawa pulang tidak bisa bertahan lama untuk pelengkap ,pelayan kurang ramah tidak senyum kurang profesional untuk kemasan yang dibawa pulang tidak bisa bertahan lama untuk pelengkap,"['pelayan', 'kurang', 'ramah', 'tidak', 'senyum', 'kurang', 'profesional', 'untuk', 'kemasan', 'yang', 'dibawa', 'pulang', 'tidak', 'bisa', 'bertahan', 'lama', 'untuk', 'pelengkap']","['pelayan', 'ramah', 'senyum', 'profesional', 'kemasan', 'dibawa', 'pulang', 'bertahan', 'pelengkap']","['pelayan', 'ramah', 'senyum', 'profesion', 'kemasan', 'dibawa', 'pulang', 'bertahan', 'pelengkap']",pelayan ramah senyum profesion kemasan dibawa pulang bertahan pelengkap
102,Agus Kadjru,2 bulan lalu,Tempat nya sangat luas 👍 …,netral,Tempat nya sangat luas ,tempat nya sangat luas ,tempat nya sangat luas,"['tempat', 'nya', 'sangat', 'luas']","['nya', 'luas']","['nya', 'lua']",nya lua
103,Furqon Nur Muhammad,3 tahun lalu,"Pelayanan ramah, Tempat bersih, makan tanpa bayar dulu dan antri",positif,Pelayanan ramah Tempat bersih makan tanpa bayar dulu dan antri,pelayanan ramah tempat bersih makan tanpa bayar dulu dan antri,pelayanan ramah tempat bersih makan tanpa bayar dulu dan antri,"['pelayanan', 'ramah', 'tempat', 'bersih', 'makan', 'tanpa', 'bayar', 'dulu', 'dan', 'antri']","['pelayanan', 'ramah', 'bersih', 'makan', 'bayar', 'antri']","['pelayanan', 'ramah', 'bersih', 'makan', 'bayar', 'antri']",pelayanan ramah bersih makan bayar antri
104,Valde Zero,4 tahun lalu,"Bersih, makanan enak tp sambal pemcit tidak pedas",positif,Bersih makanan enak tp sambal pemcit tidak pedas,bersih makanan enak tp sambal pemcit tidak pedas,bersih makanan enak tp sambal pemcit tidak pedas,"['bersih', 'makanan', 'enak', 'tp', 'sambal', 'pemcit', 'tidak', 'pedas']","['bersih', 'makanan', 'enak', 'tp', 'sambal', 'pemcit', 'pedas']","['bersih', 'makanan', 'enak', 'tp', 'sambal', 'pemcit', 'peda']",bersih makanan enak tp sambal pemcit peda
105,Nabil Rayyan,2 tahun lalu,"Rasanya lumayan tapi maaf bebeknya kecil sekali. Selain itu meja berdebu, air wastafel mati tidak ada pemberitahuan & tidak disediakan air pengganti di dekat wastafel, utk pengunjung yg sdh terlanjur ambil sabun jadi repot tdk ada air. Karyawan kurang care thd kebersihan semoga kedepan bisa lbh baik lagi, tks",negatif,Rasanya lumayan tapi maaf bebeknya kecil sekali Selain itu meja berdebu air wastafel mati tidak ada pemberitahuan tidak disediakan air pengganti di dekat wastafel utk pengunjung yg sdh terlanjur ambil sabun jadi repot tdk ada air Karyawan kurang care thd kebersihan semoga kedepan bisa lbh baik lagi tks,rasanya lumayan tapi maaf bebeknya kecil sekali selain itu meja berdebu air wastafel mati tidak ada pemberitahuan tidak disediakan air pengganti di dekat wastafel utk pengunjung yg sdh terlanjur ambil sabun jadi repot tdk ada air karyawan kurang care thd kebersihan semoga kedepan bisa lbh baik lagi tks,rasanya lumayan tapi maaf bebeknya kecil sekali selain itu meja berdebu air wastafel mati tidak ada pemberitahuan tidak disediakan air pengganti di dekat wastafel utk pengunjung yg sdh terlanjur ambil sabun jadi repot tdk ada air karyawan kurang care thd kebersihan semoga kedepan bisa lbh baik lagi tks,"['rasanya', 'lumayan', 'tapi', 'maaf', 'bebeknya', 'kecil', 'sekali', 'selain', 'itu', 'meja', 'berdebu', 'air', 'wastafel', 'mati', 'tidak', 'ada', 'pemberitahuan', 'tidak', 'disediakan', 'air', 'pengganti', 'di', 'dekat', 'wastafel', 'utk', 'pengunjung', 'yg', 'sdh', 'terlanjur', 'ambil', 'sabun', 'jadi', 'repot', 'tdk', 'ada', 'air', 'karyawan', 'kurang', 'care', 'thd', 'kebersihan', 'semoga', 'kedepan', 'bisa', 'lbh', 'baik', 'lagi', 'tks']","['lumayan', 'maaf', 'bebeknya', 'meja', 'berdebu', 'air', 'wastafel', 'mati', 'pemberitahuan', 'disediakan', 'air', 'pengganti', 'wastafel', 'utk', 'pengunjung', 'sdh', 'terlanjur', 'ambil', 'sabun', 'repot', 'tdk', 'air', 'karyawan', 'care', 'thd', 'kebersihan', 'semoga', 'kedepan', 'lbh', 'tks']","['lumayan', 'maaf', 'bebeknya', 'meja', 'berdebu', 'air', 'wastafel', 'mati', 'pemberitahuan', 'disediakan', 'air', 'pengganti', 'wastafel', 'utk', 'pengunjung', 'sdh', 'terlanjur', 'ambil', 'sabun', 'repot', 'tdk', 'air', 'karyawan', 'care', 'thd', 'kebersihan', 'semoga', 'kedepan', 'lbh', 'tk']",lumayan maaf bebeknya meja berdebu air wastafel mati pemberitahuan disediakan air pengganti wastafel utk pengunjung sdh terlanjur ambil sabun repot tdk air karyawan care thd kebersihan semoga kedepan lbh tk
106,Khristian W M,setahun lalu,Bebek kremesnya enak meski kecil,netral,Bebek kremesnya enak meski kecil,bebek kremesnya enak meski kecil,bebek kremesnya enak meski kecil,"['bebek', 'kremesnya', 'enak', 'meski', 'kecil']","['bebek', 'kremesnya', 'enak']","['bebek', 'kremesnya', 'enak']",bebek kremesnya enak
107,Ardian Rahcman Prasetiyo,4 tahun lalu,Alternatif kuliner di bangkalan yang banyak menunya,netral,Alternatif kuliner di bangkalan yang banyak menunya,alternatif kuliner di bangkalan yang banyak menunya,alternatif kuliner di bangkalan yang banyak menunya,"['alternatif', 'kuliner', 'di', 'bangkalan', 'yang', 'banyak', 'menunya']","['alternatif', 'kuliner', 'bangkalan', 'menunya']","['alternatif', 'kulin', 'bangkalan', 'menunya']",alternatif kulin bangkalan menunya
108,H A W,2 bulan lalu,Enak makanannya tapi sayang meja berantakan dan tidak lekas dibersihkan. Jadi mikir2 buat dine in.,netral,Enak makanannya tapi sayang meja berantakan dan tidak lekas dibersihkan Jadi mikir buat dine in ,enak makanannya tapi sayang meja berantakan dan tidak lekas dibersihkan jadi mikir buat dine in ,enak makanannya tapi sayang meja berantakan dan tidak lekas dibersihkan jadi mikir buat dine in,"['enak', 'makanannya', 'tapi', 'sayang', 'meja', 'berantakan', 'dan', 'tidak', 'lekas', 'dibersihkan', 'jadi', 'mikir', 'buat', 'dine', 'in']","['enak', 'makanannya', 'sayang', 'meja', 'berantakan', 'lekas', 'dibersihkan', 'mikir', 'dine', 'in']","['enak', 'makanannya', 'sayang', 'meja', 'berantakan', 'leka', 'dibersihkan', 'mikir', 'dine', 'in']",enak makanannya sayang meja berantakan leka dibersihkan mikir dine in
109,Strawberry Salsabilla Azizah,setahun lalu,"Tempat luas, bersih, nyaman dan ramah anak....juga tersedia musholla dan fasilitas sholatnya....
Pelayanan bagus ,Sayang Menunya banyak yg belum tersedia....semoga kedepannya makin jaya dan makin nyaman .....sukses selalu🤗 …",positif,Tempat luas bersih nyaman dan ramah anak juga tersedia musholla dan fasilitas sholatnya Pelayanan bagus Sayang Menunya banyak yg belum tersedia semoga kedepannya makin jaya dan makin nyaman sukses selalu ,tempat luas bersih nyaman dan ramah anak juga tersedia musholla dan fasilitas sholatnya pelayanan bagus sayang menunya banyak yg belum tersedia semoga kedepannya makin jaya dan makin nyaman sukses selalu ,tempat luas bersih nyaman dan ramah anak juga tersedia musholla dan fasilitas sholatnya pelayanan bagus sayang menunya banyak yg belum tersedia semoga kedepannya makin jaya dan makin nyaman sukses selalu,"['tempat', 'luas', 'bersih', 'nyaman', 'dan', 'ramah', 'anak', 'juga', 'tersedia', 'musholla', 'dan', 'fasilitas', 'sholatnya', 'pelayanan', 'bagus', 'sayang', 'menunya', 'banyak', 'yg', 'belum', 'tersedia', 'semoga', 'kedepannya', 'makin', 'jaya', 'dan', 'makin', 'nyaman', 'sukses', 'selalu']","['luas', 'bersih', 'nyaman', 'ramah', 'anak', 'tersedia', 'musholla', 'fasilitas', 'sholatnya', 'pelayanan', 'bagus', 'sayang', 'menunya', 'tersedia', 'semoga', 'kedepannya', 'jaya', 'nyaman', 'sukses']","['lua', 'bersih', 'nyaman', 'ramah', 'anak', 'tersedia', 'musholla', 'fasilita', 'sholatnya', 'pelayanan', 'bagu', 'sayang', 'menunya', 'tersedia', 'semoga', 'kedepannya', 'jaya', 'nyaman', 'suks']",lua bersih nyaman ramah anak tersedia musholla fasilita sholatnya pelayanan bagu sayang menunya tersedia semoga kedepannya jaya nyaman suks
110,AbDan Alpha,3 tahun lalu,"Makanny nunggu lama, sambal kecut beda dg sambal mangga yg tempat lain",negatif,Makanny nunggu lama sambal kecut beda dg sambal mangga yg tempat lain,makanny nunggu lama sambal kecut beda dg sambal mangga yg tempat lain,makanny nunggu lama sambal kecut beda dg sambal mangga yg tempat lain,"['makanny', 'nunggu', 'lama', 'sambal', 'kecut', 'beda', 'dg', 'sambal', 'mangga', 'yg', 'tempat', 'lain']","['makanny', 'nunggu', 'sambal', 'kecut', 'beda', 'dg', 'sambal', 'mangga']","['makanni', 'nunggu', 'sambal', 'kecut', 'beda', 'dg', 'sambal', 'mangga']",makanni nunggu sambal kecut beda dg sambal mangga
111,Amru Alhasany,2 tahun lalu,"Saya pesan bebek bakar pedas, dan  menurut saya rasanya enak dan bumbunya khas banget. Harga tergolong standart dan dikisaran 20rban per porsi. Kondisi waktu saya kesana sangat ramai (waktu buka puasa), karena banyaknya pelanggan susah untuk mencari tempat parkir.",positif,Saya pesan bebek bakar pedas dan menurut saya rasanya enak dan bumbunya khas banget Harga tergolong standart dan dikisaran rban per porsi Kondisi waktu saya kesana sangat ramai waktu buka puasa karena banyaknya pelanggan susah untuk mencari tempat parkir ,saya pesan bebek bakar pedas dan menurut saya rasanya enak dan bumbunya khas banget harga tergolong standart dan dikisaran rban per porsi kondisi waktu saya kesana sangat ramai waktu buka puasa karena banyaknya pelanggan susah untuk mencari tempat parkir ,saya pesan bebek bakar pedas dan menurut saya rasanya enak dan bumbunya khas banget harga tergolong standart dan dikisaran rban per porsi kondisi waktu saya kesana sangat ramai waktu buka puasa karena banyaknya pelanggan susah untuk mencari tempat parkir,"['saya', 'pesan', 'bebek', 'bakar', 'pedas', 'dan', 'menurut', 'saya', 'rasanya', 'enak', 'dan', 'bumbunya', 'khas', 'banget', 'harga', 'tergolong', 'standart', 'dan', 'dikisaran', 'rban', 'per', 'porsi', 'kondisi', 'waktu', 'saya', 'kesana', 'sangat', 'ramai', 'waktu', 'buka', 'puasa', 'karena', 'banyaknya', 'pelanggan', 'susah', 'untuk', 'mencari', 'tempat', 'parkir']","['pesan', 'bebek', 'bakar', 'pedas', 'enak', 'bumbunya', 'khas', 'banget', 'harga', 'tergolong', 'standart', 'dikisaran', 'rban', 'porsi', 'kesana', 'ramai', 'buka', 'puasa', 'banyaknya', 'pelanggan', 'susah', 'parkir']","['pesan', 'bebek', 'bakar', 'peda', 'enak', 'bumbunya', 'kha', 'banget', 'harga', 'tergolong', 'standart', 'dikisaran', 'rban', 'porsi', 'kesana', 'ramai', 'buka', 'puasa', 'banyaknya', 'pelanggan', 'susah', 'parkir']",pesan bebek bakar peda enak bumbunya kha banget harga tergolong standart dikisaran rban porsi kesana ramai buka puasa banyaknya pelanggan susah parkir
112,Catur Nugroho,4 tahun lalu,"Parkiran luas ..
masakan beraneka menu
Spesial bebek
Sangat lezat......",positif,Parkiran luas masakan beraneka menu Spesial bebek Sangat lezat ,parkiran luas masakan beraneka menu spesial bebek sangat lezat ,parkiran luas masakan beraneka menu spesial bebek sangat lezat,"['parkiran', 'luas', 'masakan', 'beraneka', 'menu', 'spesial', 'bebek', 'sangat', 'lezat']","['parkiran', 'luas', 'masakan', 'beraneka', 'menu', 'spesial', 'bebek', 'lezat']","['parkiran', 'lua', 'masakan', 'beraneka', 'menu', 'spesial', 'bebek', 'lezat']",parkiran lua masakan beraneka menu spesial bebek lezat
113,Kiki Melaendo,4 tahun lalu,"sambal mangganya enak, bebek goreng lumayan",positif,sambal mangganya enak bebek goreng lumayan,sambal mangganya enak bebek goreng lumayan,sambal mangganya enak bebek goreng lumayan,"['sambal', 'mangganya', 'enak', 'bebek', 'goreng', 'lumayan']","['sambal', 'mangganya', 'enak', 'bebek', 'goreng', 'lumayan']","['sambal', 'mangganya', 'enak', 'bebek', 'goreng', 'lumayan']",sambal mangganya enak bebek goreng lumayan
114,Yohana Rosemeita,setahun lalu,"Porsinya makin lama makin menyusut..
Service quality : yaahh.. jgn berharap ramah seperti dikota besar..",negatif,Porsinya makin lama makin menyusut Service quality yaahh jgn berharap ramah seperti dikota besar ,porsinya makin lama makin menyusut service quality yaahh jgn berharap ramah seperti dikota besar ,porsinya makin lama makin menyusut service quality yaahh jgn berharap ramah seperti dikota besar,"['porsinya', 'makin', 'lama', 'makin', 'menyusut', 'service', 'quality', 'yaahh', 'jgn', 'berharap', 'ramah', 'seperti', 'dikota', 'besar']","['porsinya', 'menyusut', 'service', 'quality', 'yaahh', 'jgn', 'berharap', 'ramah', 'dikota']","['porsinya', 'menyusut', 'servic', 'qualiti', 'yaahh', 'jgn', 'berharap', 'ramah', 'dikota']",porsinya menyusut servic qualiti yaahh jgn berharap ramah dikota
115,hangga hichary,3 tahun lalu,"Rasa masakan dan suasana tempat oke,
Fasilitas musholla dan toilet",positif,Rasa masakan dan suasana tempat oke Fasilitas musholla dan toilet,rasa masakan dan suasana tempat oke fasilitas musholla dan toilet,rasa masakan dan suasana tempat oke fasilitas musholla dan toilet,"['rasa', 'masakan', 'dan', 'suasana', 'tempat', 'oke', 'fasilitas', 'musholla', 'dan', 'toilet']","['masakan', 'suasana', 'oke', 'fasilitas', 'musholla', 'toilet']","['masakan', 'suasana', 'oke', 'fasilita', 'musholla', 'toilet']",masakan suasana oke fasilita musholla toilet
116,Taufan Efendi,3 tahun lalu,Tempat nyaman & rasanya lumayan enak..,positif,Tempat nyaman rasanya lumayan enak ,tempat nyaman rasanya lumayan enak ,tempat nyaman rasanya lumayan enak,"['tempat', 'nyaman', 'rasanya', 'lumayan', 'enak']","['nyaman', 'lumayan', 'enak']","['nyaman', 'lumayan', 'enak']",nyaman lumayan enak
117,Toni Alex,10 bulan lalu,"Rasa masakan sangat lezat pake banget.
Pelayanan dr crew jg sangat baik.",positif,Rasa masakan sangat lezat pake banget Pelayanan dr crew jg sangat baik ,rasa masakan sangat lezat pake banget pelayanan dr crew jg sangat baik ,rasa masakan sangat lezat pake banget pelayanan dr crew jg sangat baik,"['rasa', 'masakan', 'sangat', 'lezat', 'pake', 'banget', 'pelayanan', 'dr', 'crew', 'jg', 'sangat', 'baik']","['masakan', 'lezat', 'pake', 'banget', 'pelayanan', 'dr', 'crew', 'jg']","['masakan', 'lezat', 'pake', 'banget', 'pelayanan', 'dr', 'crew', 'jg']",masakan lezat pake banget pelayanan dr crew jg
118,Purple Bae,2 tahun lalu,Bebek terenak yang pernah kucoba. Rekomen banget..,positif,Bebek terenak yang pernah kucoba Rekomen banget ,bebek terenak yang pernah kucoba rekomen banget ,bebek terenak yang pernah kucoba rekomen banget,"['bebek', 'terenak', 'yang', 'pernah', 'kucoba', 'rekomen', 'banget']","['bebek', 'terenak', 'kucoba', 'rekomen', 'banget']","['bebek', 'terenak', 'kucoba', 'rekomen', 'banget']",bebek terenak kucoba rekomen banget
119,rofiq rofiq ariwijaya,4 tahun lalu,Cocok se ajuwel malle sajhen soghi,netral,Cocok se ajuwel malle sajhen soghi,cocok se ajuwel malle sajhen soghi,cocok se ajuwel malle sajhen soghi,"['cocok', 'se', 'ajuwel', 'malle', 'sajhen', 'soghi']","['cocok', 'ajuwel', 'malle', 'sajhen', 'soghi']","['cocok', 'ajuwel', 'mall', 'sajhen', 'soghi']",cocok ajuwel mall sajhen soghi
